#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,162.824667627559,547.6590591983162,0
200,96.376030143753,464.41222154735175,27
300,27.490716234888023,1491.9770819705534,30.7
400,56.5498205219056,321.49562234856273,32.7
500,59.19592497154582,321.50099619312823,33.7
600,56.723889776291585,261.5553863804681,34.3
700,42.5027974927422,374.8226523722412,33.3
800,65.11103953951101,358.40640445763216,33.9
900,59.329072851079324,319.3929321877808,34.9
1000,70.7813792367564,264.06078292455635,35.7
1100,41.2879266890993,261.0995078869287,36.3
1200,7.4659269642816,409.190914210128,36.9
1300,-11.863531861188608,269.0697678727177,37.4
1400,6.039521859276483,226.1122987660813,37.9
1500,-10.289790399001857,376.39123116435115,38.2
