#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,3988041613.450019,13539308625.380495,0
200,505200087.7056385,1487234854.9628847,24.3
300,41353460.76183912,375389214.7552163,26
400,10527584.19946565,75364148.03210188,30
500,21940291077.931816,289698836273.93805,32.8
600,7891430948.514105,16613400915.683228,35.1
700,857962273.4162004,3742652548.236154,36.9
800,98705762.51805194,483601858.7663859,38.3
900,17524844.87756359,66509921.61498141,39.5
1000,2726548.6414222987,6668247.64636068,40.3
1100,14302142.030859035,47846116.21101675,41.1
1200,926064213.4984196,2352584533.240427,41.8
1300,30864172.81949743,712315105.4755574,42.3
1400,5105673.177066497,114145326.87343647,42.9
1500,200609309935773.12,1012051129322938.6,43.4
