#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25483.925468832902,295.7724591343511,0
200,-25511.15645652402,308.84063172235926,13.3
300,-25261.677468090773,305.66176747191787,13.4
400,-25487.92803589141,296.9285025399806,13.3
500,-25537.31616763044,305.2802385659781,13.6
600,-25636.56595089576,298.40190183304355,14
700,-25724.743380557047,315.6349720442406,14.3
800,-25336.484555248902,311.1522071331575,14.5
900,-25702.9829322572,304.19218245193,14.3
1000,-25617.03498447646,292.74579289564616,14.3
1100,-25436.32904100966,288.8940964764231,14.3
1200,-25399.130707573673,304.94681926112054,14.4
1300,-25816.87778546672,301.81334602015045,14.3
1400,-25712.23132339874,305.1785875733764,13.9
1500,-25655.698442218996,295.22544186264423,13.6
1600,-25841.250032352877,298.46229700553806,13.3
1700,-25959.142709685235,304.9803525152228,13.2
1800,-25814.8143205689,297.118263674079,13.3
1900,-25824.962932695053,304.72043106777517,13.3
2000,-25795.441065602052,300.00311187547385,13.4
