#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25581.692228683693,291.5677220050318,0
200,-25352.04592434652,303.8893782731739,14.6
300,-25530.046548585033,307.687280157132,11.8
400,-25650.235490288873,314.70371634239365,12.6
500,-25859.398009082262,305.2508089537845,13.1
600,-25565.4983679576,308.9298553627083,12.9
700,-25768.41107695088,299.92775022550717,12.7
800,-25809.202891860532,301.9074664840702,12.8
900,-25814.842266774172,300.0843911234113,12.9
1000,-25756.81436454996,296.06961884068494,12.8
1100,-25972.243865835804,303.2260211806318,12.8
1200,-26048.464142730838,308.04991535339593,12.9
1300,-25783.809163087524,304.17670298222856,13
1400,-26025.691105988175,307.31687252070856,12.9
1500,-25902.161111624187,296.32823004083997,13
1600,-25829.155214693823,299.9566856155934,13.1
1700,-25731.372157570288,309.4567935938173,13.3
1800,-25861.844729223732,301.43423012075965,13.3
1900,-25991.428661893668,302.43494677932756,13.4
2000,-25623.82251548452,305.3291768229665,13.5
