#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,378.3504324492144,1981.0912603386862,0
200,251.1380113830311,392.6258206709752,49.3
300,179.21569782002615,356.79082078911455,49.4
400,123.51434521965308,247.95081799918378,49.1
500,87.9207181870777,259.26600953317904,49.1
600,61.967116824428985,494.5290210545288,49.1
700,51.06470593254665,222.79665745415494,49.5
800,72.84336042015121,253.42357827477636,49.6
900,63.8524857133724,435.5830579933243,49.9
1000,44.71842280441854,360.99283628310104,50.1
1100,49.043417511256095,293.36266929135803,50
1200,45.888295738506706,332.7059493521436,50
1300,32.418984887661054,328.26802115791327,49.9
1400,51.08869368276773,422.4392881082874,49.8
1500,58.61890783981486,271.799810704146,49.5
