#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,618.1993531300981,8580.999729595265,0
200,378.0153415188032,659.4267723337997,50.8
300,334.4775660715725,221.8645410281103,51.6
400,305.11024108254526,298.9335379972771,52.7
500,306.91862781294685,373.8482518643833,52.9
600,292.9965523957832,335.75925845673703,53
700,326.61409948368396,222.432992315907,53.3
800,316.71383760619824,271.4106600243338,53.6
900,289.91975779550853,338.6267340936519,53.6
1000,295.69703836956353,509.72147608250583,53.6
1100,290.41698167679243,314.5744807747725,53.7
1200,299.82680215925575,257.1708752617345,53.6
1300,285.4715994634325,393.4856790685944,53.6
1400,273.21018686662717,275.1083159478557,53.6
1500,293.8014482699849,520.9893313850896,53.7
