#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,292.2294090778475,1203.7651822897021,0
200,174.54444104682108,305.97035245401736,56
300,156.51695629063514,276.0116704750761,55.2
400,126.43898319112523,333.74280021782835,54.7
500,106.20769492863178,347.8013401480011,54.5
600,126.30671981480421,259.9444002833412,54.3
700,109.70682685669561,391.9089119452535,53.7
800,68.68774118883795,290.3765320688504,53.8
900,67.80052092535192,215.14854518383729,54
1000,45.75451737897718,280.0154980920438,54.3
1100,44.775086000314396,384.2760472785079,54.3
1200,45.26495399091297,230.4483270431588,54.3
1300,49.65665792771679,415.6187321105465,54.3
1400,70.98000539944698,299.836154412095,54.2
1500,61.21115704534345,258.89930588531456,54.2
