#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25502.43893828425,295.88386906732717,0
200,-25470.022964466043,290.7102523719286,16.6
300,-25701.36103481916,300.039610515244,16.9
400,-25790.317329881516,298.58095145455616,16.9
500,-25630.42635104899,292.2192519370254,16.9
600,-25745.47691000155,297.5223459678169,16.9
700,-25602.084826659368,301.5420282529355,16.9
800,-25801.737622285003,301.98601595533574,16.9
900,-25664.636438678484,302.5254432877722,16.8
1000,-25634.442698576222,295.39387275000945,16.7
1100,-25689.49408281847,304.0136726803076,16.7
1200,-25582.00451416692,307.46939146677005,16.7
1300,-25633.778474779643,297.1521475224447,16.7
1400,-25754.27737685746,304.0101574601899,16.7
1500,-25527.57497755958,290.9753584557186,16.7
1600,-25527.794542343523,308.23576040628933,16.6
1700,-25441.838897458558,304.73547306032856,16.7
1800,-25467.6827671228,298.6294096921614,16.7
1900,-25586.306861182456,309.31631488923426,16.6
2000,-25773.03290443917,302.51157648523593,16.6
