#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25275.339771777977,291.1312141237045,0
200,-25302.259977453246,310.1962920205912,15.8
300,-25318.459682128796,305.95961305691173,16
400,-25355.049348460423,311.70505823702905,16.1
500,-25634.24974145359,313.1573252567167,16.1
600,-25449.845595798648,306.57326970212716,15.7
700,-25666.604850509273,296.8803298919125,15.6
800,-25641.778989007813,306.04046794478904,15.3
900,-25569.477445394874,312.3838131819294,15.4
1000,-25741.878352483018,295.7925600027042,15.4
1100,-25685.87997226154,295.5787481186727,15.5
1200,-25646.556164829002,305.557719699001,15.5
1300,-25752.776927185318,296.94279892420053,15.5
1400,-25624.12917960451,296.3019836742988,15.6
1500,-25559.465286433195,302.2894823682887,15.7
1600,-25318.804895867488,303.76529905039126,15.7
1700,-25733.63758473133,308.31076859402594,15.7
1800,-25663.399041530218,287.79632039363327,15.8
1900,-25459.02292903741,298.54202722478084,15.8
2000,-25834.713431424007,301.0003356479763,15.7
