#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25720.884127336314,285.3933332918619,0
200,-25550.964677224663,306.26658349994295,18.2
300,-25798.51339822359,308.32968688695365,18
400,-25768.365982203864,291.3619254787258,18.2
500,-25794.32694274617,298.1485327431329,18.3
600,-25854.83864205851,302.7698647837122,18.5
700,-25904.88290239511,287.08046112112794,18.6
800,-25855.716057718582,301.5486619197314,18.5
900,-26063.586302342297,292.4019694867472,18.4
1000,-25800.85105444586,309.67293582097625,18.4
1100,-25819.53033155788,295.75552338234,18.4
1200,-25860.680539562654,315.8655991036576,18.3
1300,-25905.485599195697,300.44326618869917,18.3
1400,-25579.0204305625,292.66412640240145,18.2
1500,-25719.871275844023,305.14624699323707,18.2
1600,-25736.29263837008,297.60565430137086,18.2
1700,-25828.735558097665,299.4536357880043,18.2
1800,-25635.94014805455,298.6894588318539,18.3
1900,-25697.75424246278,310.0330982287667,18.3
2000,-25620.340377794626,299.99090372491924,18.3
