#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,710.4755442879849,7441.893479498697,0
200,343.24531254785074,616.8361448330037,53.4
300,284.2493786137775,298.93405753291574,54.7
400,286.53963795699144,291.4202393777567,55.4
500,296.10309783940414,327.4733973180399,55.4
600,300.2429317219588,410.9806256976724,55.5
700,271.3063945974585,298.440197887413,55.8
800,248.05553289578978,316.3817297585839,55.7
900,245.66988057230765,266.8251264328546,55.8
1000,234.45564810239966,281.2201051678971,55.4
1100,246.54646439038027,337.0170366776073,53.3
1200,241.6726531198641,416.10748721830447,52.4
1300,261.43324231739683,270.77515114567245,51.5
1400,233.53041928490285,368.3443462711794,51.1
1500,221.04192636720762,339.7258937371615,50.1
