#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25643.035100890535,285.9844310316836,0
200,-25530.238413164643,305.46683244972587,15.2
300,-25414.2466901429,311.30704983051197,15.3
400,-25376.952346088274,290.61284016100853,15.4
500,-25790.558665458433,294.16071279487437,15.3
600,-25803.81731921781,301.0965000172778,15.2
700,-25706.478672657446,295.19931763297313,14.7
800,-25562.602859985214,294.92052211284965,14.4
900,-25851.599925165712,305.862692038216,14.5
1000,-25902.898478578663,303.94451110977604,14.4
1100,-25882.046744026393,305.8635902369168,14.2
1200,-25985.9014673349,301.528974673065,14
1300,-25812.02857075832,301.0684790104619,13.7
1400,-25943.70794012339,303.1694582315476,13.5
1500,-26010.069851669898,303.8121883178341,13.4
1600,-26019.994335424664,301.57297809071235,13.3
1700,-25965.324868892185,284.6157798043138,13.3
1800,-25865.74880666349,310.5318623422924,13.3
1900,-25733.07255027629,304.3723199252301,13.3
2000,-25775.016648736582,303.91925520932114,13.3
