#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,608.242492576655,4071.8355341648708,0
200,350.7481754684453,694.7597703775742,44.6
300,276.37253378293167,263.54336134197774,44.6
400,247.0985222561212,327.63825372245987,44.4
500,248.4219090518033,323.6434293661882,45.1
600,228.65209762809621,373.34809836794665,45.5
700,222.67747250199523,178.81306011780165,44.6
800,187.12712324818065,286.69282328400254,45.2
900,157.7519916372478,366.6729999105877,41.6
1000,181.73784233282782,370.52789282737643,40
1100,132.57828586124452,298.21285532296827,39.3
1200,111.01102325202362,298.2132560630965,39.6
1300,116.25782518269935,289.51393384332783,39.9
1400,92.7862371556497,216.66674135154372,39.9
1500,112.33717340886213,335.9088549768109,40.4
