#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,2744.2005127574803,30145.91103951673,0
200,882.2865163687543,1726.3978649380447,50.3
300,680.263167561576,565.0856169550703,48
400,625.6623536831316,302.25324490751785,47.9
500,595.2698732500795,266.9105959006179,47.9
600,571.7838685525393,440.7831399664943,47.2
700,570.3402565311824,445.2345710512706,47.3
800,583.6820859535671,225.2147958853806,47.2
900,555.6042752195276,241.92651416259025,46.8
1000,570.9145706524333,274.58137127343963,46.8
1100,560.6628048417939,248.1660544209508,46.9
1200,540.8244138312125,292.0804117634027,47.2
1300,530.5819921771625,220.47323312525808,47.4
1400,506.430890559106,383.3722178034569,47.4
1500,494.39209988832204,243.47718283326623,47.3
