#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,513.0670031332029,3412.4532654114464,0
200,340.7110745934151,269.2984898917307,51.2
300,316.51674889824596,192.24379768593917,51.4
400,321.598176769926,348.90249079531947,51.9
500,290.2019638799044,407.53257032571594,51.8
600,305.38191732499513,248.5585753252642,52.1
700,279.3445516932401,337.47524423045047,52.2
800,257.6079294387797,293.9344095395129,52.5
900,241.92081418247693,249.04852579218993,52.3
1000,248.86535910135603,181.52364915079133,51.7
1100,216.0980942647399,245.77521609857016,51.8
1200,200.17116635260726,358.8811236498911,52
1300,193.71232400936339,310.2666862435534,52
1400,189.31650619278554,306.2059479758675,52
1500,182.5377289455357,433.96589212424954,52
