#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-24921.791650394403,301.5251826117555,0
200,-25531.21391220191,304.97724073691217,14.5
300,-25799.41988411875,309.20096670617795,13.3
400,-25591.96095771091,296.92731772283366,14
500,-25652.6182676395,300.15411115080093,14.5
600,-25527.904086333223,299.84618086623163,14.7
700,-25651.936884006787,302.34595439769936,14.9
800,-25819.89381515877,289.29171085926544,15.2
900,-25711.90366332745,288.75742289215594,15.3
1000,-25619.12806582063,300.1325187779614,15.4
1100,-25975.669678048867,308.7186314744636,15.3
1200,-25837.394487146616,304.10405146767437,15.3
1300,-25821.50533545666,298.7591223553258,15.4
1400,-25853.277924046975,297.6127000558185,15.3
1500,-25938.865939186515,310.7630700155207,15.2
1600,-25931.474407079055,315.4078885891937,15.2
1700,-26000.421896098254,303.0962717061918,15.2
1800,-26116.74342132438,309.180205424797,15.3
1900,-26091.39001354536,300.827052022222,15.2
2000,-25980.016640230813,298.0619578366656,15.1
