#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,1337.9065743918425,18041.696503996583,0
200,587.3360759129373,1123.1865737352034,57.1
300,463.73060822432734,340.49176274838135,56.3
400,457.0362961082851,274.4599729970147,54
500,432.1058996961482,226.66128334780834,53.4
600,393.30874151263146,361.7932000800931,53
700,387.0447577144233,375.7401055552211,52.6
800,359.60881152397803,249.51163724546856,52.4
900,337.8982766755494,299.88862317227955,52.4
1000,338.2222461367484,273.99794364076314,52.1
1100,334.1315912918517,325.0455496592486,51.8
1200,328.6159611488447,383.17386026501606,51.8
1300,321.2916922898826,351.11067011192114,51.8
1400,322.18981327839833,217.24818931423138,51.9
1500,323.49999201389085,325.2771255891628,52
