#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25211.8612735642,321.2614765397241,0
200,-25105.448401039797,298.59352713048685,12.9
300,-25266.867566741857,299.835816460121,12.9
400,-25323.730700835018,297.27261498903573,13.2
500,-25593.562366093112,298.6572560438813,12.8
600,-25560.236953221505,309.4186673987239,12.5
700,-25730.696275191993,304.71202921593306,12.5
800,-25617.283466074314,310.17982296145703,12.4
900,-25497.1821267582,307.47819967775877,12.4
1000,-25747.521143019225,305.49174817990786,12.4
1100,-25656.890401200682,298.9549770269986,12.5
1200,-25791.821104887742,297.95565766025646,12.4
1300,-25823.25746816581,298.4624346689873,12.4
1400,-25922.432525243705,301.18316454745917,12.4
1500,-25738.722327175743,302.0220737837091,12.3
1600,-25860.421975718353,319.38910810781147,12.3
1700,-25709.401840901817,313.2017612422305,12.3
1800,-25848.40178358684,304.77766905566034,12.3
1900,-25649.05671079584,299.6386526826894,12.3
2000,-25955.58485982998,309.6440653242816,12.4
