#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25401.133669796207,291.7796732734857,0
200,-25397.624359565434,300.83377500208854,15
300,-25732.41534890403,298.95926165667646,15
400,-25767.375069952795,306.76882823491826,15
500,-25641.944136920854,296.63634060696086,14.8
600,-25795.126347540532,296.4524184877983,14.9
700,-25875.89333105715,299.30508004465145,15.1
800,-25780.933896220267,296.728336598311,15.1
900,-25626.137645492243,294.4844194045091,15.2
1000,-25758.320244312657,308.7878017417268,15.3
1100,-25637.174160623847,304.90808253661345,15.3
1200,-25589.805411166843,307.78796158975126,15.4
1300,-25842.412295740753,300.94287724291564,15.5
1400,-26119.433115104188,298.8475242519752,15.3
1500,-26072.160601670468,316.0490500463511,15.3
1600,-25809.31857439237,294.23513265545495,15.1
1700,-25840.13809412434,301.65667210127947,15.2
1800,-25943.240096308236,298.49392641768134,15.2
1900,-25701.90613736347,298.9961764377127,15.2
2000,-25843.376632256106,304.93871914182574,15.3
