#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25498.172861561587,294.84726440626605,0
200,-25243.86201752273,303.64447426313797,17.4
300,-25359.934489350606,297.97697365920715,17.4
400,-25431.101656785013,311.611017494764,16.6
500,-25374.522332194334,298.876822433788,15.9
600,-25409.98612265055,294.03522346270637,16
700,-25365.98304665279,311.58999330138073,15.8
800,-25494.42398344051,299.25703310781074,15.7
900,-25586.51382154428,296.0838334823719,15.7
1000,-25714.044302101334,315.2686303374048,15.6
1100,-25923.168641900455,297.1486815828643,15.7
1200,-25817.359541980564,303.89275488108143,15.7
1300,-25907.76421056961,300.9508711015007,15.6
1400,-25901.179909152892,296.2711285149068,15.6
1500,-25897.973397967064,297.9060827385851,15.7
1600,-25785.14047576151,301.44379337355724,15.8
1700,-25948.667955236506,313.86849884977494,15.8
1800,-25716.396164956972,309.9573593037007,15.8
1900,-25704.8821742944,301.11744260111897,15.9
2000,-25797.151521078013,307.44415105394074,15.9
