#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,769716.562571291,4255994.186087662,0
200,2471002529.9310684,20421338740.182613,51.2
300,492352616.25715756,2730217429.9302177,49.4
400,92567115.72686322,218052975.56983376,48.2
500,17357947.329386134,28821573.244124316,47.4
600,1574230518731748.0,2.129820149402025e+16,47.3
700,521657823155364.7,1609189811391531.5,47.1
800,32597666640302.242,289680674753088.06,47.1
900,6590504928167.22,44883254355307.58,46.7
1000,1896801911571.8682,867743111440.2686,46.7
1100,73113697283.53682,714867563600.9269,46.8
1200,8839474581.522526,157151143366.01724,46.6
1300,3758720598.5149865,7196842096.443435,46.8
1400,370448967.47624236,1115492406.5377564,46.7
1500,155432212305290.28,286545791453337.25,46.8
