#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,35.97072595662382,328.5033575987711,0
200,13.202625173615992,419.0584313825789,36.8
300,14.285806892551747,362.81611967935686,38.8
400,25.893987721992726,323.4710093734377,40
500,12.154721555754277,319.6377004808679,40.5
600,61.25868026339618,276.2242660700802,40.8
700,61.14805597538702,280.9161654888316,41.1
800,56.291569382405484,220.1464500255481,41.5
900,56.32947812804827,235.296102574765,42
1000,60.133148274325535,311.68759184995247,42
1100,54.89469442454353,269.33965205465944,41.8
1200,66.25321530448795,264.46676868478653,42.1
1300,69.24419014349122,288.183255742895,42.3
1400,79.77796347075062,270.4762774776685,42.3
1500,34.97668150913449,225.80092845096817,42.3
