#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,319.44267195305906,1355.8944719400672,0
200,231.34439650169278,370.4352134808874,25.7
300,214.37328234936504,304.5541850980674,28.1
400,162.3990983180329,436.9585839093302,28.8
500,104.61211137979588,389.74493517975856,31.1
600,80.58498356547156,320.8368567689773,32.1
700,86.81102705584964,439.3918734902471,33.6
800,70.96567375454802,269.3211396088609,35
900,64.92031706313773,311.3486194964547,36.3
1000,61.14874780874425,311.5486748340692,37.5
1100,69.55108574133838,396.34842918968656,38.5
1200,48.38480027177266,296.7911384834335,39.3
1300,57.143522556240654,322.6024834456771,39.8
1400,53.81219135233199,393.8705253580913,40.4
1500,30.176557750792647,281.3066783050857,41
