#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25610.625774989756,297.32805299190113,0
200,-25473.380093248765,301.975153334078,18.5
300,-25728.99291882386,294.3253293538492,18
400,-25884.4104345099,294.2519007660622,17.9
500,-25665.189974657602,315.4722104544262,18
600,-26013.105858397816,310.57352539081563,18
700,-25793.630335780785,305.42077282592834,18
800,-25945.386600123395,300.4540611173346,18.1
900,-25996.47530237653,304.044913303598,18.2
1000,-25886.328112695188,307.44263980687737,18.2
1100,-25815.289836092164,289.4910090891201,18.2
1200,-25608.8246871211,293.9298326653243,18.2
1300,-25982.364558985886,299.15488118810117,18.3
1400,-25808.65578024145,299.23406321978547,18.3
1500,-25834.490230465653,302.88097996950944,18.2
1600,-25866.388587931,296.54756199178127,18.2
1700,-26009.704340391894,296.9398804178798,18.2
1800,-25965.904626089916,297.8883218916909,18.2
1900,-25840.194934220526,306.49235297105076,18.2
2000,-25933.37421623064,305.1064744210601,18.2
