#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25566.518454252437,285.6438254270191,0
200,-25862.370014899607,311.29178179301203,22.1
300,-25859.27093802663,290.00033907555076,22
400,-25838.50518338566,302.61602562918574,22
500,-25697.332123745102,306.7627395038216,21.6
600,-25760.378221234514,305.13652777639044,20.9
700,-25913.174295933826,299.42209896529596,20.6
800,-25647.17388778527,297.49955456288416,20.3
900,-25992.046619236484,313.3758357994436,20.2
1000,-25831.147666979734,298.8512404665641,20.1
1100,-25932.74665167927,308.0217892657719,20
1200,-25841.494036863125,293.89866570551516,20
1300,-25660.673316991735,301.74757467003076,20
1400,-25512.710150665556,296.4300999578724,20
1500,-25517.901172057205,301.6092293127488,20
1600,-25449.694237323103,307.5020570206281,20
1700,-25737.40023804431,299.8225967618478,19.9
1800,-25867.19938327587,316.2660531846761,19.8
1900,-25821.63400412077,299.3276066757301,19.8
2000,-26092.712284683636,294.6006295207602,19.8
