#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,333.30513394166235,1350.2629594603245,0
200,265.2265008869671,387.7824363493774,41.4
300,233.1536723288337,223.7253060574936,41.9
400,199.50833152036228,367.02306620127183,42.9
500,147.29555462852673,248.5959857044116,43.4
600,108.0174996053701,368.02735245185,43.8
700,83.7367511205372,268.96420652159657,44
800,91.01816722457158,209.32286847291897,42.9
900,75.9572789107011,253.16247792447322,42.7
1000,83.90145613801502,342.06551150491885,42.4
1100,63.64778232340531,290.02462336337885,42.1
1200,74.98947394235998,227.4789441162475,42.1
1300,78.81060903177966,354.7917543926132,42.1
1400,84.6284242926385,188.57891150465076,42.2
1500,74.68723125009076,320.3215790773285,41.7
