#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25612.657595452,304.5134399433628,0
200,-25661.19844373181,298.78869610045183,17.1
300,-25273.41532094166,292.2762734149952,17.1
400,-25602.719420524427,287.1761174709021,17.1
500,-25758.229480535567,295.13895644348173,17.1
600,-25734.599669460225,294.21230491824,17.1
700,-25967.72240443502,302.3054604036856,17.1
800,-25674.439547522434,307.0175642684991,17.1
900,-25781.226840379488,309.9536540982152,17.1
1000,-25650.15403625273,314.7864003962297,17.1
1100,-25375.12610753898,315.3980505716119,17.1
1200,-26210.29001446097,307.5237282964347,17.1
1300,-25947.39903557701,306.0182019485617,17.1
1400,-26048.916372502845,296.1210287014973,17
1500,-25789.01056998693,292.15536911919816,17
1600,-25657.38328845164,291.5667796940654,17
1700,-25678.46576873958,289.05714803115285,17
1800,-25548.263468029312,317.3728977733786,17
1900,-25845.341481319694,323.1083283850091,17
2000,-25856.458259976258,308.43503260890674,17
