#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,190.4009096328541,427.7980108064841,0
200,82.50915926943364,471.1153131471697,45.7
300,60.3272289806756,345.7911251569955,46.9
400,68.52985802724636,224.24323741900338,47.8
500,44.933697479917875,353.864423516966,48
600,52.168854613108195,372.01052730197694,48.6
700,64.22392952493718,259.03329083395124,49.2
800,67.99527736085369,248.66860213071743,49.7
900,73.46524442675329,256.5844821647472,49.3
1000,49.28267107284754,246.75522429357608,49.6
1100,71.18944821843968,395.5926697017826,49.8
1200,61.43721704207289,274.3127074956684,50
1300,62.5179467231402,293.5823607467143,50
1400,52.55206344833658,395.8812159025357,50.1
1500,51.07864354615229,371.0443330571837,50.2
