#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25617.113491945318,295.6200434471455,0
200,-25773.746280387008,298.6960105131269,14.3
300,-25579.08826297981,291.05683283876874,13.2
400,-25691.091618336974,301.54942255372373,13.4
500,-25654.403929777254,298.42491324557227,13.4
600,-25797.32881600349,293.8503906199279,13.6
700,-25624.206565470224,303.04380984854254,13.3
800,-25710.474308701137,302.3312769527344,13.2
900,-25824.119068458,300.99552107708564,13.3
1000,-25730.73639817715,310.76160208036765,13.2
1100,-25587.06204837875,318.5379410561042,13.1
1200,-25544.749125368617,303.1534905048707,13.2
1300,-25699.811709175698,311.2424716330746,13.2
1400,-25968.707821586722,309.5697315264215,13.2
1500,-26039.042480201857,307.06309537671547,13.1
1600,-25903.243838004797,306.40791363167574,13.1
1700,-25776.052415118425,304.7402891403442,12.7
1800,-25794.70405063324,306.45855770374743,12
1900,-25738.915722731723,306.1477422581625,11.8
2000,-25972.29564898381,296.36343954554144,11.7
