#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25299.897068720657,284.4568761471139,0
200,-25313.694094153874,309.77441173671934,14.6
300,-25364.548275515943,299.06954489168834,14.4
400,-25529.985070117044,304.4675793961485,13.9
500,-25672.149166399322,296.4238381090486,13.4
600,-25928.487519899558,294.8838957797414,13.2
700,-25907.221943241744,300.21083373829174,13.2
800,-25941.53522460973,303.28793963849955,13.4
900,-25839.677068699893,302.1568853512253,13.5
1000,-25949.081087854807,309.3045352631718,13.7
1100,-25949.409908640344,299.89155935033835,13.9
1200,-25886.26366985767,306.8768056573631,14
1300,-26182.780022538544,294.43398231363324,14.1
1400,-25902.593827108256,298.35309030095965,14.2
1500,-25690.670474771523,296.1619500201636,14.3
1600,-25905.580559354526,304.08568570292636,14.4
1700,-25674.277313497252,297.82612431596544,14.5
1800,-25773.887690260217,296.4813616417199,14.6
1900,-25613.42281949966,308.80789356437236,14.7
2000,-25598.862109543625,300.1825648995903,14.8
