#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25491.975371229688,290.8333902892908,0
200,-25435.4585360953,299.81561762280313,14.5
300,-25298.105637226763,296.80337499641723,14.4
400,-25678.60382779865,303.90396868447044,13.7
500,-25603.21060686854,296.46331234637796,13.4
600,-25822.3871986357,301.9088406225732,13.2
700,-25777.864243937194,291.41507494367033,13.3
800,-25880.037975861655,305.14449101502714,13.3
900,-26033.765006970923,302.7375901501513,13.4
1000,-25858.700197775855,299.6524360244594,13.4
1100,-26057.35523630284,300.04817611331407,13.3
1200,-25942.424964382022,292.2522188675289,13.3
1300,-26097.918099135346,297.5075976960956,13.4
1400,-25764.45009429936,290.7532885009289,13.5
1500,-25702.184247948437,300.6539998259384,13.6
1600,-25842.10930806317,304.2863574603861,13.7
1700,-25639.56086211879,305.41843186193506,13.8
1800,-25725.08014210712,297.50605677795403,13.7
1900,-25770.110539177054,302.36291203850914,13.7
2000,-25735.730980774515,307.37041424208235,13.7
