#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25580.52153976527,284.9253334457181,0
200,-25314.785465839854,313.69062571645736,16.6
300,-25456.345260721813,300.4814308169438,16.5
400,-25637.262369711883,305.3586396803909,16.5
500,-25771.223690479026,292.53558011591645,16.5
600,-25872.851221040946,300.60469186987353,16.4
700,-25939.257835747194,291.01734959429314,16.3
800,-25933.883055672748,310.42359782997323,16.3
900,-26062.385032525857,294.00558106767653,16.3
1000,-26005.23680081736,315.10236338328366,16.2
1100,-25774.723166147698,313.24964026916643,16.2
1200,-25507.65029305349,304.0788651149718,16.1
1300,-25793.27872860541,310.0156966355767,16.1
1400,-25779.02293175234,294.2783599841592,16
1500,-25661.112278388307,303.8795891038488,15.9
1600,-25708.229227660857,290.65044044456386,15.8
1700,-25711.093159564538,288.8654526097716,15.7
1800,-25821.500528023265,306.2089059337592,15.7
1900,-25953.154327911707,301.78393427320117,15.6
2000,-25595.900296135835,309.0040393590948,15.6
