#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,287.7973926798921,1241.1094179560416,0
200,235.39156011863903,405.57082767527106,35.3
300,202.11673547978265,355.8376733999092,38.1
400,144.23231062666832,369.1493282962781,39.6
500,152.2124148089962,262.5314549937094,40.6
600,120.18132459693872,415.74693361627897,41.3
700,107.52465878591401,299.5872228717953,41.7
800,71.13557158180521,394.49339629348196,41.8
900,54.830765564244516,376.60431475180735,41.5
1000,30.973608944618935,373.25633094837394,41.7
1100,46.34463436274039,293.53224649788194,41.8
1200,136.3388595362316,2469.36725330104,42
1300,70.68592722912459,323.31070791431233,41.7
1400,60.544384881835754,189.38552055463273,41.6
1500,59.59217817069879,327.894686858794,41.5
