#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25611.607721897944,300.79288396828167,0
200,-25607.412007444127,309.5910089789549,18.3
300,-25500.428965335053,314.06457390961106,18.4
400,-25731.670533050725,314.7975650556516,18.5
500,-25536.070886577898,292.03133699230835,18.4
600,-25841.278264228575,304.59508561023347,18.5
700,-26152.976669810556,305.8403367504155,18.5
800,-25820.577113091196,303.9346814271611,18.5
900,-25967.078249284146,304.047986515098,18.6
1000,-25842.957610163412,298.0751138950566,18.6
1100,-25745.893277985488,290.05656517398955,18.6
1200,-25881.062789325915,303.6929961190877,18.5
1300,-25679.52015425561,297.6957701269371,18.5
1400,-25708.4714246891,306.207333612385,18.5
1500,-25666.01320328497,296.0563949306787,18.5
1600,-26005.907924896397,323.5904477327483,18.5
1700,-25864.091090376816,295.3994671771708,18.5
1800,-25673.895737866063,302.0585890299117,18.5
1900,-25850.02133023343,301.63887623976615,18.4
2000,-25807.961766027584,287.57709239503896,18.4
