#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,218.63318136940637,893.924392348585,0
200,180.50926328400197,371.65504983013943,33.6
300,119.51185945524003,360.5313765147514,32.9
400,120.11894469524742,285.2222843133511,35.3
500,110.79275323524509,295.8306157386578,36.7
600,121.18761471723913,374.79089190068004,37.9
700,78.88424436853367,243.59987836996865,38.8
800,80.87809968217265,255.93297864993215,39.5
900,65.68980757908625,272.6507587772111,40.1
1000,88.4870949479436,196.72533587238263,40.5
1100,91.97314385753411,262.5960106127436,41
1200,64.81058242521296,353.61834450124854,41.7
1300,52.887190751931946,376.9011137913541,42
1400,79.33418590112852,264.55909337786227,42.3
1500,66.08512232004801,259.6403551424697,42.4
