#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,225.76661601061392,629.7976286238387,0
200,152.0234506888879,528.943778164375,44.6
300,111.34903929056102,379.64868928376734,45
400,80.55789395236098,305.4471678750419,44.6
500,68.30806527497266,396.0493951279343,45.5
600,59.04526205230588,339.2862494290642,45.1
700,58.04597052743296,250.7390207007078,45
800,59.71922759650724,379.97950783564585,45
900,49.152600110558055,326.5375724859118,45.3
1000,50.74311514901736,192.4913207462309,45.3
1100,46.532997851376564,242.96725985379723,45.4
1200,52.97710946094985,256.79859527905126,45.3
1300,57.236544412462656,248.72787951647328,45.5
1400,50.24037782845209,325.1838038588662,45.6
1500,47.5407967537553,253.69673777335922,45.9
