molecula,dg_elec_pbc,dg_elec_sbc,dg_lj_pbc,dg_lj_sbc,delta_delta_elec_sbc_menys_pbc,delta_delta_lj_sbc_menys_pbc
mobley_1017962,18.469794627712577,14.022795338112767,-0.9225502145070821,-0.1782395618839243,-4.446999289599811,0.7443106526231578
mobley_1019269,3.354716225831383,4.9494816855802934,-0.05632319463197438,-4.797475293052376,1.5947654597489103,-4.741152098420401
mobley_1034539,5.5555963854737636,3.244279554799546,8.370787229634804,3.8087272658246416,-2.3113168306742176,-4.562059963810162
mobley_1036761,6.027134335455451,4.782258523887924,1.4680770682570043,-0.3522592662154378,-1.2448758115675274,-1.8203363344724421
mobley_1046331,4.8424155090513565,13.747186297192913,2.5221282170581576,2.47802965531751,8.904770788141557,-0.044098561740647746
mobley_1075836,20.64896305831024,11.681287996030958,0.34428106533992375,-1.98764286084478,-8.967675062279282,-2.331923926184704
mobley_1079207,-0.38801195890544915,1.9172998220273052,0.3414663571802228,-2.0640364783253187,2.3053117809327546,-2.4055028355055414
mobley_1107178,1.9452557310882446,2.2104958407092825,-1.2899752073508304,-3.788091331596059,0.26524010962103794,-2.4981161242452288
mobley_1144156,0.6703723104850199,2.7847735830312996,-0.6965778123452085,-3.6810042348636913,2.1144012725462797,-2.984426422518483
mobley_1160109,17.00684134934088,12.99338625803704,1.3502666434003328,0.3667459134909554,-4.013455091303841,-0.9835207299093773
mobley_1178614,13.166973222718592,6.83651208802606,0.3238801319832487,-0.10878830953923524,-6.330461134692532,-0.43266844152248396
mobley_1189457,4.810638066937657,4.597387413798122,3.1482889630971638,-0.18098179989052054,-0.21325065313953484,-3.3292707629876843
mobley_1199854,2.546670041864532,1.7916838191561997,-0.21619003131908804,-2.298621716517921,-0.7549862227083324,-2.082431685198833
mobley_1231151,-0.30977735348375435,0.914231490626121,-0.6800334640568575,-3.1940880386285326,1.2240088441098753,-2.5140545745716754
mobley_1235151,5.651670433774451,4.4549876125049455,0.4113802640153621,-2.7047884432110223,-1.1966828212695058,-3.116168707226384
mobley_1244778,3.3079471065181094,4.210321878834535,-0.07064712264721584,-1.4188429241795653,0.9023747723164259,-1.3481958015323494
mobley_1261349,-5.051790415933944,-1.8012404972143412,-2.577214680097635,-2.6006596528716632,3.2505499187196025,-0.023444972774028017
mobley_1278715,0.14668339065884253,-0.024187938327908574,1.1666854759520757,-1.7932719907200332,-0.17087132898675111,-2.959957466672109
mobley_129464,4.0263020722346665,5.022543788109459,-1.3149580051612033,-7.476724266624776,0.9962417158747927,-6.161766261463573
mobley_1328465,2.675246405152576,2.4410419490131954,-2.1579539916261257,-4.445641295598424,-0.23420445613938057,-2.2876873039722985
mobley_1328936,46.52722892764767,31.31778689340483,6.093691979690597,3.7563854374927224,-15.20944203424284,-2.3373065421978745
mobley_1352110,33.21775939466474,28.764185728481674,2.9488790902664945,-1.5627827920459612,-4.453573666183065,-4.511661882312456
mobley_1363784,16.795959980107085,6.29609114318666,3.620527383871716,-0.2277786415422547,-10.499868836920424,-3.8483060254139705
mobley_1396156,1.0703482713865606,0.2870793742219061,7.908738697617779,6.7785312983884785,-0.7832688971646545,-1.1302073992293007
mobley_1417007,19.412052674717202,16.032147424824167,1.4147294745263492,-1.3046233383353685,-3.379905249893035,-2.7193528128617177
mobley_1424265,-0.8577241165225719,1.4729546034667889,0.5316009821005889,-1.5679065328515889,2.330678719989361,-2.099507514952178
mobley_1449384,4.40434439343473,4.900850492578263,1.0198444924351238,1.265761089962354,0.4965060991435326,0.24591659752723016
mobley_1469079,5.8943899468869745,-2.050182965344442,5.161116557115926,4.1926159226641495,-7.944572912231417,-0.9685006344517761
mobley_1502181,10.210340980557687,10.165715072244103,-3.689813347720815,-3.6320253456576874,-0.04462590831358426,0.0577880020631274
mobley_1520842,-9.652654041358781,2.2546577689432192,3.4360780698489948,2.243820152901534,11.907311810302001,-1.1922579169474607
mobley_1527293,32.81205358180673,37.23848803907538,3.7294265565966724,2.485048655715725,4.426434457268648,-1.2443779008809472
mobley_1563176,2.7895362114983997,3.4787647254505867,-0.5751954217602157,-3.4270845714165326,0.689228513952187,-2.851889149656317
mobley_1571523,11.343900791405137,9.496037986555333,2.7163929353333236,0.9295919507399284,-1.8478628048498038,-1.7868009845933952
mobley_1592519,12.093381210976158,11.063101078796926,1.2578570661389068,-5.332390108048633,-1.0302801321792323,-6.590247174187541
mobley_1615431,-2.8235176100459762,3.245181931102941,0.37315635894883004,0.8232410909238426,6.068699541148917,0.45008473197501253
mobley_1636752,5.3001274949598685,4.494742307626756,-2.001679177847798,-2.8354130968840794,-0.8053851873331128,-0.8337339190362814
mobley_1650157,-13.245519937460884,-1.9335567074135205,-1.1300848160341297,-3.051496463791102,11.311963230047363,-1.9214116477569725
mobley_1662128,-0.8661805940747608,-0.30888809274176576,-1.9743673475258816,-4.4936837729274295,0.557292501332995,-2.5193164254015477
mobley_1674094,0.7119489404762281,1.5052709673021336,-0.9006246136289067,-3.421623935653926,0.7933220268259055,-2.5209993220250198
mobley_1708457,-0.9170425186258656,6.6021613127529895,-1.8271483606355485,-4.528391858856688,7.519203831378855,-2.7012434982211397
mobley_1717215,12.842039266401338,9.103637104567897,0.3032435254792496,-1.4685794469280842,-3.7384021618334415,-1.7718229724073338
mobley_1722522,16.21893115258082,16.413621452972073,-0.030120932794089228,-1.9402793866460948,0.19469030039125457,-1.9101584538520056
mobley_1723043,0.6744534226838432,12.778212875350675,4.646174970869138,5.264033002417686,12.103759452666832,0.6178580315485478
mobley_1728386,35.840967060488175,36.61634814567253,2.815427941381259,1.1726183449548377,0.7753810851843568,-1.642809596426421
mobley_172879,12.409610019015723,1.9478663188411742,7.558801657343648,2.189789188201086,-10.461743700174548,-5.369012469142562
mobley_1733799,0.5142450739664335,1.714173882961779,-0.24269120902389263,0.19432131031803657,1.1999288089953455,0.4370125193419292
mobley_1735893,12.693387612803267,13.317580219967628,-2.063289429590077,-2.7549468677832296,0.6241926071643604,-0.6916574381931526
mobley_1743409,33.334325477031186,-5.392907602739633,2.357676578047925,18.901955747869778,-38.72723307977082,16.544279169821852
mobley_1760914,3.468466639866371,2.482817698960536,1.4195733757937607,-3.0870256757166885,-0.9856489409058349,-4.506599051510449
