#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25384.729811153116,301.23719621093267,0
200,-25658.671300017846,305.8697668360377,11.9
300,-25559.545675080244,308.68366853393496,12.4
400,-25518.389186760556,295.62748201150674,12.4
500,-25565.94082425083,301.99694646312315,12.9
600,-25744.76951179732,300.2696456563851,12.9
700,-25915.09387061214,300.6640102053671,13
800,-25809.41788929464,311.4544907269545,13.1
900,-25780.519905358582,304.69317433015374,13.3
1000,-26017.473117185604,294.19391525018335,13.1
1100,-25967.140327398698,300.11839849477997,13.1
1200,-25648.493945336457,300.9971231843661,13.2
1300,-25641.566702665885,305.3763756380428,13.3
1400,-25573.234748328498,291.7131872588572,13.1
1500,-25857.541900167416,298.1424049650747,13.1
1600,-26047.0112274877,302.2686481276517,13.1
1700,-25876.762569878556,294.7063643224262,13.1
1800,-25910.83980688431,298.60923018642427,13
1900,-25728.56559412446,297.03826261061704,13
2000,-25654.618180568283,314.03584656778634,13
